776	3	2	One-Hand	Vendetta
862	3	4	Finger	Runed Ring
872	3	2	Two-Hand	Rockslicer
888	3	4	Hands	Naga Battle Gloves
932	1	-1		Fel Steed Saddlebags
1076	2	4	Finger	Defias Renegade Ring
1155	3	2	Two-Hand	Rod of the Sleepwalker
1156	3	4	Finger	Lavishly Jeweled Ring
1177	1	-1		Oil of Olaf
1292	3	2	One-Hand	Butcher's Cleaver
1318	3	2	Two-Hand	Night Reaver
1454	3	2	One-Hand	Axe of the Enforcer
1470	1	-1		Murloc Skin Bag
1481	3	2	One-Hand	Grimclaw
1482	3	2	One-Hand	Shadowfang
1483	3	2	One-Hand	Face Smasher
1484	3	2	Two-Hand	Witching Stave
1486	3	4	Chest	Tree Bark Jacket
1488	3	4	Chest	Avenger's Armor
1489	3	4	Chest	Gloomshroud Armor
1491	3	4	Finger	Ring of Precision
1727	3	2	One-Hand	Sword of Decay
1824	0	2	Two-Hand	Shiny War Axe
1825	0	2	Main Hand	Bulky Bludgeon
1826	0	2	Two-Hand	Rock Maul
1827	0	2	Main Hand	Meat Cleaver
1828	0	2	Two-Hand	Stone War Axe
1829	0	2	Main Hand	Short Cutlass
1830	0	2	Two-Hand	Long Bastard Sword
1831	0	2	Two-Hand	Oaken War Staff
1832	2	4	Legs	Lucky Trousers
1935	3	2	One-Hand	Assassin's Blade
1937	3	2	One-Hand	Buzz Saw
1974	3	4	Wrist	Mindthrust Bracers
1975	3	2	Two-Hand	Pysan's Old Greatsword
1976	3	2	Two-Hand	Slaghammer
1978	3	4	Hands	Wolfclaw Gloves
1992	3	4	Held In Off-hand	Swampchill Fetish
2039	3	4	Finger	Plains Ring
2040	3	4	Off Hand	Troll Protector
2169	3	2	One-Hand	Buzzer Blade
2205	3	2	Two-Hand	Duskbringer
2262	3	4	Finger	Mark of Kern
2264	3	4	Shoulder	Mantle of Thieves
2271	3	2	Two-Hand	Staff of the Blessed Seer
2280	3	2	Two-Hand	Kam's Walking Stick
2292	3	4	Chest	Necrology Robes
2459	1	-1		Swiftness Potion
2549	3	2	Two-Hand	Staff of the Shade
2567	3	2	One-Hand	Evocator's Blade
2662	2	-1		Ribbly's Quiver
2663	2	-1		Ribbly's Bandolier
2807	3	2	One-Hand	Guillotine Axe
2816	3	2	Main Hand	Death Speaker Scepter
2874	1	-1		An Unsent Letter
2941	3	2	One-Hand	Prison Shank
2942	3	2	One-Hand	Iron Knuckles
3078	3	2	Ranged	Naga Heartpiercer
3191	3	2	Two-Hand	Arced War Axe
3194	3	2	Two-Hand	Black Malice
3228	3	4	Wrist	Jimmied Handcuffs
3230	3	4	Wrist	Black Wolf Bracers
3413	3	2	One-Hand	Doomspike
3414	3	2	One-Hand	Crested Scepter
3415	3	2	Two-Hand	Staff of the Friar
3416	3	4	Chest	Martyr's Chain
3417	3	2	Two-Hand	Onyx Claymore
3456	3	-1		Dog Whistle
3748	3	4	Shoulder	Feline Mantle
3826	1	-1		Mighty Troll's Blood Potion
4376	1	-1		Flame Deflector
4388	1	-1		Discombobulator Ray
4393	2	4	Head	Craftsman's Monocle
4397	1	4	Trinket	Gnomish Cloaking Device
4411	2	-1		Schematic: Flame Deflector
4413	2	-1		Schematic: Discombobulator Ray
4415	3	4	Head	Schematic: Craftsman's Monocle
4438	3	4	Wrist	Pugilist Bracers
5187	3	2	Two-Hand	Rhahk'Zor's Hammer
5191	3	2	One-Hand	Cruel Barb
5192	3	2	One-Hand	Thief's Blade
5193	3	-1	Back	Cape of the Brotherhood
5194	3	2	Two-Hand	Taskmaster Axe
5195	3	4	Hands	Gold-flecked Gloves
5196	3	2	One-Hand	Smite's Reaver
5197	3	2	One-Hand	Cookie's Tenderizer
5198	3	2	Ranged	Cookie's Stirring Rod
5199	3	4	Legs	Smelting Pants
5200	3	2	Two-Hand	Impaling Harpoon
5201	3	2	Two-Hand	Emberstone Staff
5202	3	4	Chest	Corsair's Overshirt
5243	3	2	Ranged	Firebelcher
5254	3	4	Shoulder	Rugged Spaulders
5397	1	-1		Defias Gunpowder
5404	3	4	Shoulder	Serpent's Shoulders
5443	3	4	Off Hand	Gold-plated Buckler
5444	3	-1	Back	Miner's Cape
5616	3	2	One-Hand	Gutwrencher
5756	3	2	One-Hand	Sliverblade
5819	3	4	Head	Sunblaze Coif
5824	1	-1		Tablet of Will
5943	3	4	Wrist	Rift Bracers
5970	3	4	Hands	Serpent Gloves
6220	3	2	One-Hand	Meteor Shard
6226	3	4	Chest	Bloody Apron
6283	1	-1		The Book of Ur
6314	3	-1	Back	Wolfmaster Cape
6318	3	2	Two-Hand	Odo's Ley Staff
6319	3	4	Waist	Girdle of the Blindwatcher
6320	3	4	Off Hand	Commander's Crest
6321	3	4	Finger	Silverlaine's Family Seal
6323	3	2	One-Hand	Baron's Scepter
6324	3	4	Chest	Robes of Arugal
6340	3	-1	Back	Fenrus' Hide
6341	3	4	Held In Off-hand	Eerie Stable Lantern
6392	3	4	Waist	Belt of Arugal
6440	3	4	Finger	Brainlash
6446	3	-1		Snakeskin Bag
6447	3	4	Off Hand	Worn Turtle Shell Shield
6448	3	2	One-Hand	Tail Spike
6449	3	-1	Back	Glowing Lizardscale Cloak
6459	3	4	Feet	Savage Trodders
6460	3	4	Waist	Cobrahn's Grasp
6461	3	4	Shoulder	Slime-encrusted Pads
6463	3	4	Finger	Deep Fathom Ring
6465	3	4	Chest	Robe of the Moccasin
6469	3	2	Ranged	Venomstrike
6472	3	2	One-Hand	Stinging Viper
6473	3	4	Chest	Armor of the Fang
6627	3	4	Chest	Mutant Scale Breastplate
6629	3	-1	Back	Sporid Cape
6630	3	4	Off Hand	Seedcloud Buckler
6631	3	2	Two-Hand	Living Root
6632	3	-1	Back	Feyscale Cloak
6633	3	2	One-Hand	Butcher's Slicer
6641	3	2	Two-Hand	Haunting Blade
6642	3	4	Chest	Phantom Armor
6679	3	2	Two-Hand	Armor Piercer
6681	3	2	One-Hand	Thornspike
6682	3	4	Chest	Death Speaker Robes
6685	3	4	Shoulder	Death Speaker Mantle
6686	3	4	Head	Tusken Helm
6687	3	2	Two-Hand	Corpsemaker
6688	3	4	Head	Whisperwind Headdress
6689	3	2	Two-Hand	Wind Spirit Staff
6690	3	4	Legs	Ferine Leggings
6691	3	2	One-Hand	Swinetusk Shank
6692	3	2	One-Hand	Pronged Reaver
6693	3	4	Finger	Agamaggan's Clutch
6694	3	4	Off Hand	Heart of Agamaggan
6695	3	4	Neck	Stygian Bone Amulet
6696	3	2	Ranged	Nightstalker Bow
6697	3	4	Shoulder	Batwing Mantle
6893	1	-1		Workshop Key
6895	1	-1		Jordan's Smithing Hammer
6901	3	-1	Back	Glowing Thresher Cape
6902	3	4	Wrist	Bands of Serra'kis
6903	3	4	Legs	Gaze Dreamer Pants
6904	3	2	One-Hand	Bite of Serra'kis
6905	3	2	Two-Hand	Reef Axe
6906	3	4	Hands	Algae Fists
6907	3	4	Chest	Tortoise Armor
6908	3	4	Waist	Ghamoo-ra's Bind
6909	3	2	Two-Hand	Strike of the Hydra
6910	3	4	Legs	Leech Pants
6911	3	4	Waist	Moss Cinch
7146	2	-1		The Scarlet Key
7191	1	-1		Fused Wiring
7230	3	2	Two-Hand	Smite's Mighty Hammer
7669	1	-1		Shattered Necklace Ruby
7670	1	-1		Shattered Necklace Sapphire
7671	1	-1		Shattered Necklace Topaz
7682	3	2	One-Hand	Torturing Poker
7683	3	2	One-Hand	Bloody Brass Knuckles
7684	3	4	Shoulder	Bloodmage Mantle
7685	3	4	Held In Off-hand	Orb of the Forgotten Seer
7686	3	4	Finger	Ironspine's Eye
7687	3	2	One-Hand	Ironspine's Fist
7688	3	4	Chest	Ironspine's Ribcage
7689	3	2	Two-Hand	Morbid Dawn
7690	3	4	Hands	Ebon Vise
7691	3	4	Head	Embalmed Shroud
7708	3	2	Ranged	Necrotic Wand
7709	3	4	Legs	Blighted Leggings
7710	3	2	Two-Hand	Loksey's Training Stick
7711	3	4	Chest	Robe of Doan
7712	3	4	Shoulder	Mantle of Doan
7713	3	2	Two-Hand	Illusionary Rod
7714	3	2	Main Hand	Hypnotic Blade
7717	3	2	Two-Hand	Ravager
7718	3	4	Shoulder	Herod's Shoulder
7719	3	4	Head	Raging Berserker's Helm
7720	3	4	Head	Whitemane's Chapeau
7721	3	2	Main Hand	Hand of Righteousness
7722	3	4	Neck	Triune Amulet
7723	3	2	Two-Hand	Mograine's Might
7724	3	4	Hands	Gauntlets of Divinity
7726	3	4	Off Hand	Aegis of the Scarlet Commander
7727	3	4	Shoulder	Watchman Pauldrons
7728	3	4	Chest	Beguiler Robes
7729	3	2	Ranged	Chesterfall Musket
7730	3	2	Two-Hand	Cobalt Crusher
7731	3	4	Neck	Ghostshard Talisman
7736	3	2	One-Hand	Fight Club
7740	1	-1		Gni'kiv Medallion
7741	1	-1		The Shaft of Tsol
7742	1	4	Trinket	Schematic: Gnomish Cloaking Device
7752	3	2	One-Hand	Dreamslayer
7753	3	2	Two-Hand	Bloodspiller
7754	3	4	Feet	Harbinger Boots
7755	3	4	Shoulder	Flintrock Shoulders
7756	3	4	Hands	Dog Training Gloves
7757	3	2	Two-Hand	Windweaver Staff
7758	3	2	Two-Hand	Ruthless Shiv
7759	3	4	Chest	Archon Chestpiece
7760	3	4	Legs	Warchief Kilt
7761	3	2	One-Hand	Steelclaw Reaver
7786	3	2	One-Hand	Headsplitter
7787	3	4	Off Hand	Resplendent Guardian
8053	1	-1		Obsidian Power Source
8225	3	2	One-Hand	Tainted Pierce
8226	3	2	One-Hand	The Butcher
8444	1	-1		Executioner's Key
8490	1	-1		Cat Carrier (Siamese)
8492	1	-1		Parrot Cage (Green Wing Macaw)
8548	1	-1		Divino-matic Rod
9214	2	-1		Grimoire of Inferno
9234	1	-1		Tiara of the Deep
9243	2	4	Neck	Shriveled Heart
9260	1	-1		Volatile Rum
9279	1	-1		White Punch Card
9280	1	-1		Yellow Punch Card
9281	1	-1		Red Punch Card
9282	1	-1		Blue Punch Card
9308	1	-1		Grime-Encrusted Object
9316	1	-1		Prismatic Punch Card
9326	1	-1		Grime-Encrusted Ring
9327	2	-1		Security DELTA Data Access Card
9379	3	2	One-Hand	Sang'thraze the Deflector
9381	3	2	Ranged	Earthen Rod
9387	3	4	Feet	Revelosh's Boots
9388	3	4	Wrist	Revelosh's Armguards
9389	3	4	Shoulder	Revelosh's Spaulders
9390	3	4	Hands	Revelosh's Gloves
9394	3	4	Head	Horned Viking Helmet
